parameter,value
function,WFG1
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,3
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,f2,rank,crowding_distance,constraint_violation,evaluated
111,1.5393980579300488,2.2855541841205973,1.5974958121662921,7.5712548451356856,0.079399990194880726,7.4473845331950361,3.9981936711623161,0.61008433605237555,11.722709321408022,16.670275326281793,14.348820578412663,21.507898119395065,7.8047660929975358,2.5853998616939196,16.233445138175593,26.800928678572188,21.673693103276552,5.0249791362775653,12.297454226481634,31.393449813377309,41.870233702105629,43.712687051204746,42.893210457495222,45.483035099505308,2.9232181935509605,0.98928519351862909,0.98936107019513431,7,inf,0,1
112,1.8064622211988577,3.5257139925013599,4.8777344905784643,7.6818209490718852,3.0655062283347796,11.139203431821784,0.62898942039738226,5.7621225220397356,1.3683164648282231,18.508523383296847,7.4365144030209631,18.983523873925996,19.477181547255505,13.043252541074297,2.4697829112068068,6.398880103976138,2.5897535371416072,32.12869867788784,27.396911483739007,17.907489002968159,24.210842732049731,8.864533400585664,33.143824198166115,40.672513537960377,2.9691644172663114,0.98359367069830284,0.98358205806417598,7,inf,0,1
113,1.6780920889330326,1.4660488494003561,5.5339025426045545,6.4861209049633199,8.7935701506161887,1.8022059046551511,12.022662932219554,12.786051504283938,11.007721781927222,16.938138292137072,17.82398634716256,2.7066727402002346,10.688177378368314,24.746258630968761,28.700506578595974,15.173362423736741,9.1090000220745058,30.140957658102963,36.007712592216748,7.6939699347059811,4.4179333500994966,4.2357996609782589,20.097209625366062,5.2781142083596082,2.9320832094991545,0.98689124595917421,0.98977291210452178,7,inf,0,1
114,1.8962074423364648,3.9570192958020725,1.4463537728793923,7.4694278470511053,9.9184027424393371,0.93462011830625458,7.3197436609166306,15.881299725933353,14.642084176918909,10.665316633701202,9.5984152518859158,2.6619446897133763,23.974836039656079,14.572998699880699,6.0158626518709273,8.5469124158619767,8.6694398960201955,33.747852670325059,9.1269870258542998,9.2353780093383477,40.381029827079111,12.426067960792691,10.391087137587565,42.181944292790327,2.9423655658894661,0.98494098843439892,0.9841324267857241,7,2.3199161028691675,0,1
115,1.3243239611208024,3.3119104703352233,5.0789781975493025,4.4403652825290836,6.7324623973116555,5.9829918875171959,0.11169044359079948,11.393048417365049,9.1525727555092988,3.8107884968488808,18.944016772534773,19.529621839550874,18.751841498182696,1.6892815221783324,0.32034666839000686,31.44947288920412,20.682527168710294,0.042554575769017229,17.898171631564747,21.559414720527144,23.575702562871808,40.572843710105232,29.941427348109364,3.0497257701970981,2.9467356917429388,0.98883058394629453,0.98865087840026811,8,inf,0,1
116,1.2566782617286654,3.5811316683686547,5.3887775743375235,5.0585167788250187,6.4334547127081532,10.512014242589649,11.306360126636791,9.0819413010411481,13.894052372352302,9.1668080496501272,6.4288491078212058,17.16380889036115,10.202467442103845,3.7603237943855916,22.779961749170514,22.274591872276385,15.159375412588366,2.0518066918289799,35.022374595686045,26.899937366112589,8.9563768819303604,21.818044252121641,0.15882485059394374,41.849649776651987,2.951341434945598,0.9849748975459427,0.98488380739682213,8,inf,0,1
117,0.80549520779566119,3.4177539220774866,5.7954280812546122,5.8471620160812314,6.146011716784213,4.7527732500396231,3.7757276402002349,8.9413071479418296,13.004665220936415,19.542182426177625,15.201350480004901,7.4235147366357701,4.5179190751451381,3.4793342560774732,27.62049758337826,29.32325107182443,31.462882894095532,2.2591852959566783,4.3577142049733295,0.53792473680103958,39.384210863332207,43.558408553996806,45.171928654668839,28.079780869406946,2.9533658502845599,0.99089152963121419,0.99134187903085247,9,inf,0,1
118,1.6513934262652405,3.5851199549447785,3.8708716789986459,7.51003482962874,8.2141180944867482,1.8477535722456908,1.5666075093798937,8.4998439525855591,13.857070449925402,15.407437604077785,3.5993365308299978,20.184584534778107,16.326170465426504,23.912439468001068,25.656750539388806,30.761803007615253,5.2421988354367759,1.6903374610047859,19.774127462167694,27.787379820276836,1.1004025239212809,18.20867185473903,2.9368416806102329,39.75444882863647,2.9664806802622179,0.98912181834271273,0.98904412290486443,9,inf,0,1
119,1.822672212337626,3.0134498322185421,5.5725065158911518,7.8261131187568491,6.4558732717653822,3.9109700551170654,2.784056728400973,15.565879995206441,8.5959984440722668,11.442465139316695,15.50715421793565,17.382707961361039,1.0376955017313005,6.3673713183274483,0.92171900558810727,3.4248169105653159,28.067964697140113,0.64824400157560313,21.776818012986244,38.260815917800116,33.37881244684386,3.3759287268934903,44.482740445402051,34.213107341014371,2.9741954219532132,0.99072994130139092,0.9908091806485807,10,inf,0,1

final_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,f2,rank,crowding_distance,constraint_violation,evaluated
0,0,0,2.8827200687100536,0.7953126625176099,5.8148400192951284,11.261958921519232,5.9371456450495419,6.5056965270202962,12.531481555944099,10.934117423582856,4.5981915543317848,8.8544080790214199,15.443109177019974,10.50927052999139,12.044413598028635,11.229264604034507,12.080463172226967,24.694882633807921,36.519260041540278,31.525297923659359,10.734225552396751,16.670946152021187,34.288503480471881,12.249746574565677,0.96421055159102786,0.96421055159102786,6.9642105515910275,0,inf,0,1
1,0.58262887836893273,2.3923309765458725,1.2168077001540825,2.881320673773581,4.7675713235533417,3.5825895727679442,5.442473100745179,4.4841778575793008,9.9648660498365196,10.589952320581205,7.0521146693644337,8.5616526741373189,10.308574203976301,9.9759762968607415,15.024313198664494,11.565754384359996,13.531599016700595,15.038301451930556,15.765592554717875,4.6655087167093958,10.587232662031415,24.093335907279961,17.769684195861249,22.782553928907738,2.8346954950541621,0.96135741370840644,0.96159825951786115,0,inf,0,1
2,0.44498011825120198,4,0,0,7.3475164850546442,6.9654872332181386,4.3330778293048873,7.3885793386005325,12.944886732210719,0,0,3.4283001643939435,15.014492126988285,17.768701234433447,10.708355968320582,0,19.690922991679653,12.729340084496783,5.2930306667676685,14.10542861545429,7.6420697482675539,2.8098618043423453,20.746681327264888,20.666278428889779,0.96854762575955122,4.9065346023346956,0.96949206274477739,0,inf,0,1
3,0,2.5475990115190541,1.1084583551170366,3.3320290234047145,6.2456056202621895,2.1946166751987297,7.966260984890317,12.210444549488502,10.723962560461107,6.7450404087822564,5.8969713346988248,20.074583293702862,6.4426544246680555,12.249412900921328,26.854968686980857,14.748726292322894,12.597040545846619,5.0077673802480147,15.591683626786166,13.874936024244308,18.009711531628025,18.047262200365701,16.075540730118476,20.960872662664446,1.9037319990980026,0.95871492109158563,3.1735670713534194,0,inf,0,1
4,0,4,0,0,10,7.1009896656492302,10.164663820142321,6.3324557247070992,8.9792748570739764,11.314081171639229,0,13.456859636465609,14.583791152654765,24.243855114966475,30,4.67013546631265,13.864014185375966,0,15.572292001887686,13.381750520458443,1.3585770541821065,15.206186428681409,18.394264695193481,17.890999588291102,0.96852222430354173,2.9685222243035412,3.1339208929300795,0,0.389365739933555,0,1
5,0.6350791070216788,0.004768752519861974,0,0,3.0614296841602928,12,0,8.9822526732430745,18,17.263524751367971,11.364711698565907,13.359066828513631,26,12.775614049459358,30,26.952914042503895,0,10.150770781157908,21.480854722148251,20.900363373949755,0,44,46,10.09417032677845,0.98843660419991364,4.4152545330597723,1.4875106347607601,0,0.38766311445461149,0,1
6,0.85602164162122296,0.065197859514084425,0.36522205644602301,0.00018905863167328202,10,9.6065337244769786,2.251276336552408,0.59913273020807112,17.024888325784701,6.7024252844988741,10.099283913502566,13.600281505038694,11.203066020676303,9.8313542807176262,18.953489392716861,22.373625214259377,3.1896001525668849,0.86706243776138536,23.534291418042244,31.012062083432159,10.77480502076277,43.27945875586127,34.98574276540301,14.113708857100638,2.4193316867799433,1.0580523669083211,1.1443138706378817,0,0.28924711066087266,0,1
7,0,3.156082781578597,0.31673105715690553,4.0041015753512941,5.9591334441630828,1.6566455433556369,5.7481969623734637,15.218300185637622,10.726435447906661,0,0,21.42766180054841,13.576506789296268,8.1045080981011246,10.160534651998475,16.22837826966008,13.562989944256639,2.3675667943582486,12.579343987285709,18.66236539819624,6.492795788557566,8.6676372567101954,21.130540813742233,16.841026580448322,1.9073463908226893,0.96881187047717565,3.1591950207384918,0,0.27662879045360617,0,1
8,7.6301605100553838e-05,0,3.7362370275496062,0,10,12,0,0,18,0,19.180186684019731,24,26,3.2393907788548888,13.23378823694758,32,0,0,0,40,42,44,0,35.301049472249019,1.0353284268308327,1.13395918806857,5.5123502933380806,0,0.2636480595388237,0,1
9,2,6.9321447807024761e-07,2.3793835276889612,7.1477589349653297,3.6258581737794837,12,0,0,0,20,22,6.0271413744051987,19.397090760700578,26.193280284864841,30,5.6300671653442054,25.138549267386718,10.71679469875353,0,40,42,44,46,48,2.4199199646779963,0.99405249009225383,2.1839927755261499,0,0.24350502332253762,0,1
10,0,3.4638124139257931e-05,6,0,0,10.900093539687665,14,16,18,2.8914787475435544,0,24,2.9455875327359893,9.8578887397352286,30,27.606924629669866,18.260286025862495,0,38,40,39.050651705978034,44,0,28.948145508585245,1.1325101800653969,1.4798451192946853,3.6753784486367458,0,0.23979332229388289,0,1
11,2,0,2.8474733657654365,0,2.9223609856565598,12,7.2246799239513431,3.5142946968638649,10.099870835956695,14.102990612476574,8.9336977704950495,5.3863803691909862,26,8.5810137045778401,20.582843313951436,17.252556330357269,12.550583615875974,15.498791436147636,22.807291216018349,13.993169006098844,42,11.170797056172125,46,15.098889875430675,1.0250558486624934,1.1742124558556417,4.8028527426723571,0,0.1935202075710285,0,1
12,0,3.9557478119529046,0.32817233888231623,1.9213901144633023,3.2828663871973047,6.0254976216892304,6.0686376859676781,11.043516693832837,7.7108960707331455,7.1992940983380889,1.1646161725489508,18.916984519731116,14.858778120046063,3.4685040855459421,20.749170432654534,7.3600887101215697,0.35477257809083973,12.436491982726423,21.063550194040921,17.154609888852299,14.053874829193347,14.146504865290623,16.708104164888233,30.052274380098375,1.9019219952978887,0.96951152881399383,3.132244914654962,0,0.17639157086771701,0,1
13,0.79664376590117059,9.994274627561639e-05,2.5570625353453527,0,5.4239637702124091,3.5353156429776433,0.28790040604989553,0.32365805244561757,16.856513746856276,0.083631302910831054,22,0,5.7681074145447413,21.792051964193288,0,32,1.1501057200466804,10.874645432818026,9.0359042723133403,28.071787160953296,27.901883839311999,44,31.113410510486396,36.313471452275962,1.3246793568213222,2.2113497327921596,1.9563388514609668,0,0.075929722603971933,0,1
14,0.69894007067320496,0.013741039040290948,0.12708374293736313,0.066123838038150057,7.9403263338609014,6.8701795893412898,3.181388234092779,1.7932250860371122,18,0,18.708110337384735,24,7.9005913919268913,12.98041875395624,2.3089938689727578,19.127379279310215,4.5041928300437348,0,24.408233489099331,9.5081665703169698,8.1036272673901681,18.144755789124428,46,20.967479671093496,2.5068419804930193,1.0141657657405536,1.3346840082710938,0,0.069960755135507008,0,1
15,0,0.00020311927907429306,0.6008556741537241,6.2580295744943744,10,2.5385310633577363,0,15.166673455614816,3.4130738555856244,0,6.5442041128715687,16.581245032641707,18.53585843623506,0.1107990734813441,0,11.74669999196581,18.414929563240403,1.8214607245148036,14.138750698194126,27.327580225071898,38.794429187848998,1.2603664000412738,1.8912659835363075,0,1.6556786436062323,0.98651987214972581,3.5132557791058634,0,0.055661328890641404,0,1
16,0.85731103256750396,0.43184243246210019,0,0.00021277519172135939,10,1.8483680698705598,1.6646987077378603,0,16.115473313494441,20,22,0,26,13.244561909077447,27.993854995105934,13.075271797116018,7.946522395246558,36,0,40,0,44,46,8.9612939279299155,1.4711910927537075,2.2612673467255968,1.0315584318928392,0,0.050832537540923622,0,1
17,0.065543633090087788,0.010600180427226852,1.8829271357471367,0,3.0275868540644084,8.4736101032407252,9.2164636731907006,7.5251361650869164,18,12.964941240449631,6.1081882900080151,8.5081091595090506,12.587851495676601,7.79397420392326,21.801826178399367,24.031320833522667,5.073815595115966,7.284857703303083,19.0684478400415,31.885360414229698,11.125314430515768,43.808806830243583,5.1645785267720825,21.791195024157226,1.3337839830449989,2.2991190946313678,1.5390876538156766,0,0.050806042066577115,0,1
18,0.22229705394008925,0.0006913095239176395,3.0959323386859001,0.76444768953705289,5.1578163518788136,6.634489309547809,7.2490558742510123,12.405212832925363,18,1.3793733478556727,20.818076850042651,11.447335858735499,18.061742787137643,28,0.92228379873749633,31.221780580068728,7.5680428501561012,21.496312869737253,19.729237020359456,23.672624119749681,6.5244550196725841,30.294534602170916,36.754442344055491,27.292692322066745,2.5299850847413876,0.99121369855443109,1.8235824440440398,0,0.049345877567171459,0,1
19,1.5329507932767099,0,0.51719880770706161,0,10,8.4121432629571213,4.7024651078648221,0,9.0499866742858632,0,9.7649008069773835,5.8774649789531708,0,0,7.2037465656223292,29.370193078847684,26.35277374824479,0,14.641126943260435,15.223831597917938,11.397005279516257,16.12522473921705,46,17.146650013874627,1.024040393667442,1.1846109296311638,4.8221717129653658,0,0.047897723642168724,0,1
20,0,0.0017602461700008121,0,8,10,12,0,16,0,0,22,24,17.92311314123355,0,30,0,0,0,0,40,42,44,0,0,1.2827755548822763,1.3277910248759315,3.4221359126250328,0,0.046971940823950731,0,1
21,0.0015336438638418673,0,0,0,5.900650514834429,10.973329681356635,1.6119540621649566,16,18,19.09721189608393,10.128238122428925,16.41756612771189,25.675417494467343,26.751770831893868,26.759274732938909,27.173642464471683,5.7217022576954806,14.812762911473779,11.748256154704228,40,24.468245388712809,44,46,16.930733994073378,0.98099778935748527,1.3855318500123308,5.3142096529976977,0,0.042589346034354818,0,1
22,2,4,0,8,10,0,8.8244204232228487,0,0,20,0,0,0,0,0,0,34,0,0,0,0,0,46,16.818224926745351,1.7412907596953087,1.8609444335406566,0.98827036341277608,0,0.041086351462783013,0,1
23,0,0.15769964185570529,3.8571407584571653,0,8.0711051338140685,0,14,2.0894569262780496,2.2963835885738755,20,22,12.575931476380122,0,24.541473605453568,18.366812067692653,32,34,8.2370160329573245,0,14.505256534081655,13.341165026746927,44,18.359636498315382,35.4815371748183,1.173659790576453,1.6604741433962813,3.3682420260618411,0,0.038759808166742349,0,1
24,0.018120957529894562,1.5281582641497304,0,0.050800387661848578,0,12,14,16,18,20,15.396338115110542,24,7.8970330399386395,28,30,0,0,10.891441087143935,0,40,18.221652525307928,33.060153130508269,30.076555467449904,48,1.5720518398545107,2.0168753656990233,1.0608797686990128,0,0.038619641149030964,0,1
25,0.093979587991138758,0.0053448588400357433,2.7454711329354247,2.1784946444229236,7.4158807246575247,5.3632319760211606,5.8816058139863081,7.1664783106566112,13.519478150992597,7.1343239447041871,15.437769942043298,12.114643790914624,7.0268248274798024,12.436101071786805,17.317516554264461,26.116880637555482,18.236520844781545,12.742138219086936,7.6548208085632572,14.110575210340301,9.8532818425098192,39.581236153431675,14.810194481308965,5.818774145707347,2.5897182855750649,0.96823697860706637,1.5954181048700078,0,0.038056359905794535,0,1
26,0.054314503945293399,0,3.3388522267653027,0,9.7005396294367365,8.6163901369117184,5.6244520770178177,3.109078559035078,13.19316261507244,0,1.7775552242352566,7.4553996917035708,8.4054168979856598,12.671675745142261,16.712498887992812,20.516487676206811,15.971234404803459,2.828855010220062,16.465632504886521,35.256264687687462,15.881341866500993,43.751829146531414,16.078013368393758,17.800861411252644,1.0153899708485019,1.1438315176858422,5.0451153697228124,0,0.035262718427472341,0,1
27,2,0.0038680907409183174,0,0,0,3.8394510160139106,0,5.3103963862688035,0,0,0,24,0,0,0,32,34,0,15.718549274853945,0,19.985111952537537,0.43827121113661427,1.8330827680581177,48,0.99201821357439812,4.4507315676735502,1.43143372287704,0,0.034786309860827258,0,1
28,2,0.0010511130115272715,0,6.0673915029951928,10,12,0,16,15.61038821701117,0,0,0,26,28,30,32,0,13.477662778796597,24.449344676891137,40,42,44,36.367664527584907,0,1.621686359447053,1.7392952728400553,1.610589717595017,0,0.034751528900715659,0,1
29,0,2.7292322592700708,0.34185551085087473,0,0,8.5803112235364161,14,12.270907742328294,0,20,0,24,26,0,30,0,0,0,31.888050918358431,40,0,0,46,0,1.1919441190877129,1.8005973560664752,3.2082209548270391,0,0.0347479824112202,0,1
30,0,1.0529024550979071,0,0,2.7094996476458064,12,0,16,18,0,0,0,0,0,0,32,34,36,38,40,0,0,12.057024237474879,0,0.99745389698648956,2.9026697203674399,3.2937312935169754,0,0.034322343815965897,0,1
31,0.00064494534242055812,0,0,1.0813085755455842,10,10.055739177173265,0,9.112226105822959,18,0,8.9721117666072345,13.894927718758851,3.8065277235252091,27.352366872380479,15.010374800778681,26.043468114198848,3.4723216126667635,0,8.936839300503749,40,6.2914225871625149,44,18.398499671080973,11.079426530933098,1.0549707618027608,1.0807453802837084,5.3766635161248306,0,0.034229592989165308,0,1
32,0.061505838399419241,0.021072588367746642,0.16363279506292627,0,8.0549127070413036,5.2107378681432452,2.3696494866412885,0,16.358510385664015,8.1499586253121734,17.246070685692651,5.6345539827015783,11.205720416654687,8.9008559881878941,27.083850030338159,22.991573765869617,8.6384954418001012,28.889654116569766,32.256135543865391,37.529706968133596,5.2275131343785652,42.406777733688266,17.339512347452242,23.476788877318757,1.3080104455304007,2.4059679061956452,1.4483689333093406,0,0.034215897159139266,0,1
33,1.462399960083717,0.0034685696655174514,0,0.11550281594065531,10,6.6316326891668291,0,1.9357483308045702,18,0,22,24,26,14.795111603902829,17.70238115353812,32,0,0,8.1913975477819161,18.390909003152181,0,44,46,48,1.5458505479820355,1.907147663214892,1.4718927939659459,0,0.034074332929768948,0,1
34,0.61460294359429679,0.86346992613915452,0,0,4.6171715078673206,8.4831340704147564,4.8959757757268552,16,18,4.2754639449308645,0,24,19.380850067070408,21.251413030070413,30,9.7631919191788299,0,19.632922936724288,12.854834089451158,24.505752647900792,19.921147396617407,19.526126361137617,15.380200964876163,20.832368661198299,0.97278874141634331,4.7975120418556951,0.99342572901880155,0,0.033989166609609496,0,1
35,0,0.02897662930485112,2.354552918029821,3.4684883500750057,7.1169040530871435,7.5330449808051156,4.2255199880333505,8.3579774886406462,15.240866356863584,0.70048833576153458,8.089804472574972,8.7075865782022781,4.2189068032299755,9.4421847201585116,7.645934803857644,23.620458129185813,10.517196372212419,14.075018973169096,23.241376022460052,23.584605290398766,27.698587474620911,33.188346811137116,21.090391316098327,17.477709034911658,1.780421497387936,0.96900848382469851,3.3683158293521691,0,0.033937796523544936,0,1
36,2,0.0004975517630014803,6,0,10,2.6040727257893268,0,0,18,0,2.4031814723581189,24,26,0,0,27.846169546391739,0,0,24.816579542168839,28.177782108389131,25.831732135659031,3.7670068861574748,0,12.003083124117842,1.3555184393911648,2.2417527364636083,1.7098971335517841,0,0.033749745159414549,0,1
37,0,4,0.00093732207177388283,3.3045545273226113,0,12,14,0,18,20,22,24,0,26.607731819610471,30,0,0,21.244157854992693,0,15.457801394775023,42,44,46,48,1.8713197493258567,1.0103223002015167,3.1603718892928625,0,0.033616144966638194,0,1
38,0,1.5398649495088184,2.5361481669915547,0.01589813459284084,4.1569663292309533,0,14,8.8002736384668463,7.6129606139337707,0,0,24,26,0,30,7.6571438188915479,0,36,38,40,0,0,16.40772667170582,48,1.842941347844282,1.0024175522096139,3.2544002347595793,0,0.033318454941460025,0,1
39,1.8890350480379108,0.0059648735661949719,6,0.3443579111501478,0,3.0458033242413096,14,2.2545105770336615,9.513776499447836,20,0,12.350930538230706,17.875606411218275,28,30,12.087817028494268,0,36,0,40,42,20.826431141735632,41.473992691884149,48,2.639358541219686,0.99608003049590599,1.3777105488528885,0,0.033316637225239011,0,1
40,0.20706304653386054,1.0258217986106741,0,0.0016463964416008961,7.417700012700398,6.6031119841806207,2.8264276257844814,6.3977159427343313,14.811210609583886,18.150193545062987,18.409534725377682,9.9040668486016976,23.657089505129935,24.920636674336897,30,9.4770754434707829,0,15.578654309456788,22.283827443329585,40,5.7826561055021868,44,15.186455874094429,27.712448730000197,1.5015206407392792,2.1702710979076638,1.0154456098940159,0,0.033033249872278021,0,1
41,0.0047798075560494995,0.014207161315134373,3.2579293842383894,0.88582382896960132,6.0223185593653792,5.3592416752936263,4.158174490565151,4.1506215837779692,16.024854563209864,7.3524736933212012,4.5064778747927594,8.591105432602177,1.7144976500796969,0.15238572878489015,13.265946455453106,19.353764200906976,10.731098987161523,13.863437280078546,20.052461009398947,37.711959305802139,7.2086719255287006,36.764857368273496,16.336995524696132,10.555454167928655,2.551487436195953,0.97362472405365841,1.6775813324088005,0,0.032865839247639778,0,1
42,0.407796997804109,1.9511409548959016,0,0,8.6871988602221712,0,14,1.2789975076982643,0,20,22,11.615895732444333,0,10.490473143690831,7.9516137641437394,12.849551112599178,29.681415469122623,36,38,40,41.860541706375002,4.8231580783364407,16.868071204549921,16.202772488482207,0.98003797395833714,4.8547878250388754,0.98770778829152417,0,0.03243492717132028,0,1
43,0.010143648867871339,0.10798937764594296,0,0,5.2354516448606727,12,11.507628741224067,10.193054350201978,18,20,0,24,26,24.185631531970717,30,0,0,3.9606198325605613,19.428908573132706,40,0,44,46,0,0.99671615362637744,4.4960608075449215,1.3632782818438685,0,0.032178281588082398,0,1
44,2,4,0,0.11965198846809655,10,0,3.4691249802864985,7.1468202369321938,0,0,22,0,0,0,0,32,19.967785552478951,36,15.63579024939939,0,42,0,0,48,1.6376463587379124,2.0555798607373261,0.99441281497536405,0,0.032147306382023462,0,1
45,0.054986710454708987,0.10900476813064208,0,0,6.1623630242658507,11.017351316000555,1.9532733017279709,9.7947190862740285,12.885592345539067,20,0,17.330032105457452,26,2.9305585370441802,26.006530271788918,18.962161628350373,2.1104179888624599,22.981650509677586,35.053534681591849,33.695738100302236,20.672272231731327,15.082874664232508,36.866952162015934,19.411728037168885,0.98297803056881339,4.5473903579134305,1.2433798683475259,0,0.032047859568674716,0,1
46,0,0.51372942301582825,0,0,0,12,0,16,18,0,22,24,0,0,12.554005647916583,32,34,0,38,40,42,44,0,0,0.99778725857099904,2.8537160721810033,3.3400209270701691,0,0.032046934164597848,0,1
47,1.5819268258268921,4,0,0.036754570056773628,0,0,0.012986080555764445,16,0,20,7.5262429246229274,24,7.8317531772352247,4.0787808857669461,0,22.071432901028686,0,36,0,3.8663248020120822,10.318189448796243,2.0802781788822244,38.889036528394875,48,1.6055397857724669,2.1030730862412179,0.99185438479802557,0,0.03195364824596518,0,1
48,0.76401114569522244,1.2394650611226083,0.12376005694280767,0.022207678092139194,7.7681288023526154,5.5387455244234634,4.0496410445010707,5.2395551632648054,9.432757204971729,5.404870799289065,3.2525739631977313,13.203455842040414,15.227812181961465,4.6366860637128244,18.953855263356466,25.308872008151894,12.288589072483495,22.004676630450298,18.477546835250543,20.16820614756546,16.857433341825303,9.2154723835934078,45.992061298054423,27.887133859168578,2.6186555459306136,1.0190708912075359,0.98568738858838123,0,0.031153678772327345,0,1
49,0.58113566916957926,2.0534923303936563,0.24169719457951955,3.606411127533105,5.7734405514593199,3.2707913203280983,0,2.6158863361207376,13.440168501774838,8.1150021876819451,12.784590131872267,9.9925685353818281,14.67972056755562,0,13.475723525151095,32,19.955122552080386,8.9440084312849457,23.738728252382085,16.556132147198348,8.086251519913441,15.536414394347721,29.783155124368147,14.733251076355053,2.80949262761902,0.97801821743992157,0.97665367681852588,0,0.030606278721816739,0,1
50,0.11923529936943283,0,6,0,0,12,14,0,0,0,15.489692080993267,0,0,0,30,32,34,0,26.943325858689626,2.5670595001721921,35.480233892239198,44,24.389298284099517,17.483535712043313,1.0427231484254325,1.1710636990226113,5.0130438551589886,0,0.030321545265841583,0,1
51,0.10809240598146319,0.098667161244994972,6,0.37471864938515842,10,0,0,0,18,9.1229369971960548,0,0,26,28,30,32,0,36,0,40,42,44,34.8517760016843,23.739408441072605,2.6919205834368078,1.0009220575784283,1.228727622723504,0,0.029864678869752605,0,1
52,2,0.60348522360965551,6,0,10,0,14,0,0,0,0,15.901413594599795,11.691646303237249,0,0,32,34,0,38,0,0,0,46,48,1.4172369789055947,2.4453696296747252,1.0123686924155024,0,0.029611577398200143,0,1
53,0.27124495041313662,2.0569195135179794,0,4.3678615732106046e-05,9.1679203468264561,9.8613038053356323,0,2.3570945970903363,17.112539652800692,14.688118138812753,12.382219050509493,11.007986167193133,12.107101331237269,21.264799683230187,19.843980017416534,12.586043058944616,0,11.458508899883741,16.506590888685903,37.649069538746566,1.6566849457969384,44,41.11828499318554,19.677133747597587,1.4413871517435162,2.3429765841370367,0.991798188171918,0,0.029599332826989486,0,1
54,0,0.20815408942316149,0,0.013013536138365478,10,12,0,0,18,0,12.471845819614467,24,0,28,15.012116433950725,29.515895747444439,31.99160950664659,0,0,40,36.90690020990602,44,46,0,1.2626361342996248,1.517928455611993,3.3754107272106899,0,0.02959550742350945,0,1
55,0.021324776361607303,0,0,1.3793808576202782,0,0,14,16,0,0,0,24,0,0,0,32,34,0,0,24.631331727858932,42,0,0,34.895393332108021,1.0771541730681931,1.1047824479879578,5.1454316766626338,0,0.029288819703252356,0,1
56,1.1015644811134833,0.082210531667109565,0,0.0054539849351880054,10,11.336961262019642,0,5.8594916301614894,10.824457306186742,20,22,15.140042799344764,26,28,13.133478778274007,21.344680740259385,3.2104682011402925,23.057927972212081,4.9824774985760492,13.76240410612758,42,31.626596065306892,46,0,1.5103419338009938,2.0840064632172317,1.1194429499249037,0,0.029151438258751754,0,1
57,0,0.12029264617609972,0.00023946208413955228,0,7.4070702546239673,8.6190643137449552,4.4687867582529099,10.143424693535804,15.515813481933831,11.026522175290207,9.9667325235315332,18.185313959194389,17.337346806923186,8.9659010648500388,19.692464995468093,32,9.2958804273107098,22.796114642231551,37.949744858734938,30.657866990186669,9.518206205515412,16.156869676552255,37.86835388334196,11.387637937905117,1.1097193200493769,1.8203814537678831,3.3704318444765904,0,0.0289287416886784,0,1
58,2,0.063143317468316695,0,0,10,12,0,0,7.8378465500818137,0,0,24,26,0,0,32,0,0,38,40,42,0,46,1.7592631326070531,0.99855565820173287,4.6654143271297022,1.1269600645139544,0,0.028793175795151758,0,1
59,0.0045978678326604183,0,0,0.65421145733531538,0,12,5.7261921573306678,16,18,7.0615733991667096,0,9.7417227216503619,19.943237809172849,28,27.440143276399525,23.48554022287448,0,36,2.903619452172935,40,39.529358589141289,44,46,4.951797396592724,1.0639188975927782,1.0955219065969102,5.249063754072214,0,0.028726078298379108,0,1
60,0,4,1.8222011789361849,0.00010923107243854258,0,0,14,16,0,0,0,0,0,0,15.300136811087198,32,34,34.6444809775005,0,40,0,0.15009977426846444,46,0,1.8037570242703742,1.036812957322276,3.1639141099885806,0,0.028701841671671446,0,1
61,0.53880513200689717,0.31840794144631235,0.36377917460638809,0.0069832114990942551,7.449761978717981,11.386355229737454,0,13.540113736453568,18,0,15.16244479232645,11.331329927304786,18.796184155354705,23.017681128020339,3.4079347761583207,32,19.626427537817943,24.27056282681313,26.547747961258601,33.364253098864964,42,29.252128448822937,40.155388079679952,23.96665037732587,2.5719327001676078,1.0349209767372816,1.0552271023469151,0,0.028349432377632062,0,1
62,0,0.61848250739442001,6,0,0,12,14,16,0,20,0,24,0,28,0,32,34,0,38,40,39.382628032258467,44,0,0,1.2036330787489535,1.7033355015858085,3.3317227436618544,0,0.028163619886690035,0,1
63,2,4,0,0.012499825489295624,0,0,14,16,18,0,22,0,0,0,30,0,34,36,6.7212503759141278,40,0,0,15.610692253045386,48,1.5844935402048888,2.1559231080670522,0.99391067090107055,0,0.028120543971770044,0,1
64,1.3314580338364701,4,0.13719482379169046,0,10,12,0,16,18,0,0,0,26,0,30,0,34,36,0,40,42,0,46,0,1.3755428686428424,2.6551390344311443,1.0000194512414264,0,0.028038522448460505,0,1
